pattern_id,company,entry_mode,symbol,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
W001,Nvidia,breakout,NVDA,2026-05-01 13:10,199.615,197.49,203.865,2026-05-01 15:55,198.42,session_close,33,-1.195,-0.00599,-0.56,False
W003,Nvidia,breakout,NVDA,2026-05-04 12:45,196.7599,193.77,202.7397,2026-05-04 15:55,198.56,session_close,38,1.8001,0.00915,0.6,True
W004,Nvidia,breakout,NVDA,2026-05-05 12:25,198.21,195.68,203.27,2026-05-05 15:45,196.5195,time_exit,40,-1.6905,-0.00853,-0.67,False
W005,Nvidia,breakout,NVDA,2026-05-06 11:25,206.7351,201.91,216.3853,2026-05-06 14:45,207.1643,time_exit,40,0.4292,0.00208,0.09,True
W008,Nvidia,breakout,NVDA,2026-05-11 10:50,220.28,215.83,229.18,2026-05-11 14:10,220.795,time_exit,40,0.515,0.00234,0.12,True
W009,Nvidia,breakout,NVDA,2026-05-11 14:30,221.41,219.27,225.69,2026-05-11 15:20,219.27,stop,10,-2.14,-0.00967,-1.0,False
W010,Nvidia,breakout,NVDA,2026-05-12 12:15,218.17,213.93,226.65,2026-05-12 15:35,221.578,time_exit,40,3.408,0.01562,0.8,True
W012,Nvidia,breakout,NVDA,2026-05-13 10:55,225.825,221.94,233.595,2026-05-13 14:15,227.27,time_exit,40,1.445,0.0064,0.37,True
W013,Nvidia,breakout,NVDA,2026-05-14 14:20,235.17,232.58,240.35,2026-05-14 15:55,235.745,session_close,19,0.575,0.00245,0.22,True
W014,Nvidia,breakout,NVDA,2026-05-15 10:15,227.8793,223.13,237.3779,2026-05-15 13:35,230.265,time_exit,40,2.3857,0.01047,0.5,True
W017,Nvidia,breakout,NVDA,2026-05-18 15:05,220.87,217.28,228.05,2026-05-18 15:55,222.35,session_close,10,1.48,0.0067,0.41,True
W018,Nvidia,breakout,NVDA,2026-05-19 11:45,221.72,218.92,227.32,2026-05-19 15:05,222.37,time_exit,40,0.65,0.00293,0.23,True
W019,Nvidia,breakout,NVDA,2026-05-21 11:50,220.1,216.84,226.62,2026-05-21 15:10,219.87,time_exit,40,-0.23,-0.00105,-0.07,False
W021,Nvidia,breakout,NVDA,2026-05-22 13:25,218.21,215.33,223.97,2026-05-22 15:10,215.33,stop,21,-2.88,-0.0132,-1.0,False
W022,Nvidia,breakout,NVDA,2026-05-26 14:20,214.43,211.82,219.65,2026-05-26 15:55,214.83,session_close,19,0.4,0.00187,0.15,True
W023,Nvidia,breakout,NVDA,2026-05-27 11:35,210.115,207.74,214.865,2026-05-27 14:55,212.81,time_exit,40,2.695,0.01283,1.13,True
W026,Nvidia,breakout,NVDA,2026-05-28 12:20,213.06,211.04,217.1,2026-05-28 15:40,214.23,time_exit,40,1.17,0.00549,0.58,True
W028,Nvidia,breakout,NVDA,2026-05-29 11:15,216.94,213.29,224.24,2026-05-29 14:35,216.7099,time_exit,40,-0.2301,-0.00106,-0.06,False
W001,Amazon,breakout,AMZN,2026-05-01 13:25,269.34,266.88,274.26,2026-05-01 15:55,268.34,session_close,30,-1.0,-0.00371,-0.41,False
W002,Amazon,breakout,AMZN,2026-05-06 11:55,274.485,270.9,281.655,2026-05-06 15:15,276.815,time_exit,40,2.33,0.00849,0.65,True
W003,Amazon,breakout,AMZN,2026-05-08 11:50,273.15,270.06,279.33,2026-05-08 15:10,272.7401,time_exit,40,-0.4099,-0.0015,-0.13,False
W004,Amazon,breakout,AMZN,2026-05-08 15:35,273.235,270.55,278.605,2026-05-08 15:55,272.68,session_close,4,-0.555,-0.00203,-0.21,False
W005,Amazon,breakout,AMZN,2026-05-11 11:30,272.56,269.67,278.34,2026-05-11 14:50,269.94,time_exit,40,-2.62,-0.00961,-0.91,False
W006,Amazon,breakout,AMZN,2026-05-12 15:25,265.15,262.44,270.57,2026-05-12 15:55,265.89,session_close,6,0.74,0.00279,0.27,True
W007,Amazon,breakout,AMZN,2026-05-13 11:20,266.055,263.77,270.625,2026-05-13 14:40,269.78,time_exit,40,3.725,0.014,1.63,True
W010,Amazon,breakout,AMZN,2026-05-14 12:00,268.3899,265.69,273.7897,2026-05-14 15:20,268.13,time_exit,40,-0.2599,-0.00097,-0.1,False
W012,Amazon,breakout,AMZN,2026-05-15 12:30,262.74,259.99,268.24,2026-05-15 15:50,263.57,time_exit,40,0.83,0.00316,0.3,True
W013,Amazon,breakout,AMZN,2026-05-18 15:05,264.6699,261.39,271.2297,2026-05-18 15:55,264.92,session_close,10,0.2501,0.00095,0.08,True
W014,Amazon,breakout,AMZN,2026-05-19 12:45,256.68,253.91,262.22,2026-05-19 15:55,259.42,session_close,38,2.74,0.01067,0.99,True
W016,Amazon,breakout,AMZN,2026-05-20 13:40,263.64,261.06,268.8,2026-05-20 15:55,265.01,session_close,27,1.37,0.0052,0.53,True
W018,Amazon,breakout,AMZN,2026-05-21 10:40,264.05,260.14,271.87,2026-05-21 14:00,268.5,time_exit,40,4.45,0.01685,1.14,True
W020,Amazon,breakout,AMZN,2026-05-22 11:10,269.0885,266.14,274.9855,2026-05-22 14:30,268.07,time_exit,40,-1.0185,-0.00378,-0.35,False
W021,Amazon,breakout,AMZN,2026-05-26 15:25,263.84,260.89,269.74,2026-05-26 15:55,265.31,session_close,6,1.47,0.00557,0.5,True
W022,Amazon,breakout,AMZN,2026-05-27 11:05,271.073,267.77,277.679,2026-05-27 14:25,269.95,time_exit,40,-1.123,-0.00414,-0.34,False
W023,Amazon,breakout,AMZN,2026-05-27 14:55,270.67,267.75,276.51,2026-05-27 15:55,271.8673,session_close,12,1.1973,0.00442,0.41,True
W024,Amazon,breakout,AMZN,2026-05-28 10:55,270.41,266.3,278.63,2026-05-28 14:15,272.2,time_exit,40,1.79,0.00662,0.44,True
W026,Amazon,breakout,AMZN,2026-05-29 11:20,272.335,269.26,278.485,2026-05-29 14:40,270.39,time_exit,40,-1.945,-0.00714,-0.63,False
W001,Alphabet,breakout,GOOGL,2026-05-01 11:35,386.35,377.55,403.95,2026-05-01 14:55,383.37,time_exit,40,-2.98,-0.00771,-0.34,False
W003,Alphabet,breakout,GOOGL,2026-05-04 13:05,383.52,379.4,391.76,2026-05-04 15:55,383.24,session_close,34,-0.28,-0.00073,-0.07,False
W004,Alphabet,breakout,GOOGL,2026-05-05 11:25,388.83,385.49,395.51,2026-05-05 13:15,385.49,stop,22,-3.34,-0.00859,-1.0,False
W005,Alphabet,breakout,GOOGL,2026-05-05 15:25,387.25,382.1,397.55,2026-05-05 15:55,388.41,session_close,6,1.16,0.003,0.23,True
W006,Alphabet,breakout,GOOGL,2026-05-06 10:50,397.43,390.87,410.55,2026-05-06 14:10,396.58,time_exit,40,-0.85,-0.00214,-0.13,False
W008,Alphabet,breakout,GOOGL,2026-05-07 13:20,396.075,390.72,406.785,2026-05-07 15:55,398.03,session_close,31,1.955,0.00494,0.37,True
W009,Alphabet,breakout,GOOGL,2026-05-08 15:35,400.07,395.75,408.71,2026-05-08 15:55,400.81,session_close,4,0.74,0.00185,0.17,True
W010,Alphabet,breakout,GOOGL,2026-05-12 11:45,387.92,383.9,395.96,2026-05-12 12:40,383.9,stop,11,-4.02,-0.01036,-1.0,False
