interval,variant,entry_mode,symbol,stock_return_pct,patterns,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple
15m,early_hl_wide_2r,early-higher-low,XPEV,1.0763,4,4,1,1,25.0,25.0,-0.0663,-0.265,-0.0
15m,early_hl_wide_2r,early-higher-low,LI,-16.1308,3,3,2,0,66.67,0.0,-0.0147,-0.044,-0.0633
15m,early_hl_tight_2p5r,early-higher-low,MU,83.4428,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,SNDK,52.5178,2,2,2,0,100.0,0.0,0.586,1.172,0.24
15m,early_hl_tight_2p5r,early-higher-low,GLW,10.7532,3,3,1,0,33.33,0.0,-0.4333,-1.3,-0.1133
15m,early_hl_tight_2p5r,early-higher-low,OKLO,-4.747,1,1,1,1,100.0,100.0,1.608,1.608,0.76
15m,early_hl_tight_2p5r,early-higher-low,RGTI,49.0517,1,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,IONQ,61.7145,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,CSCO,29.8792,5,5,4,0,80.0,0.0,0.2962,1.481,0.292
15m,early_hl_tight_2p5r,early-higher-low,AMKR,0.2016,1,1,1,0,100.0,0.0,0.509,0.509,0.42
15m,early_hl_tight_2p5r,early-higher-low,ASTS,54.667,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,RKLB,74.9512,1,1,1,1,100.0,100.0,4.209,4.209,2.5
15m,early_hl_tight_2p5r,early-higher-low,AMD,45.5427,3,3,2,1,66.67,33.33,0.4473,1.342,0.3133
15m,early_hl_tight_2p5r,early-higher-low,AVGO,6.1702,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,ARM,65.6061,2,2,1,0,50.0,0.0,0.1695,0.339,0.11
15m,early_hl_tight_2p5r,early-higher-low,SMCI,63.3084,1,1,1,0,100.0,0.0,0.135,0.135,0.13
15m,early_hl_tight_2p5r,early-higher-low,TSM,4.2356,1,1,0,0,0.0,0.0,-0.206,-0.206,-0.13
15m,early_hl_tight_2p5r,early-higher-low,ASML,12.3628,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,MRVL,25.0061,2,2,0,0,0.0,0.0,-0.7915,-1.583,-0.61
15m,early_hl_tight_2p5r,early-higher-low,ON,19.4356,2,2,1,0,50.0,0.0,-0.334,-0.668,-0.045
15m,early_hl_tight_2p5r,early-higher-low,LRCX,24.2811,3,3,1,0,33.33,0.0,-0.0003,-0.001,0.0167
15m,early_hl_tight_2p5r,early-higher-low,KLAC,11.6596,2,2,0,0,0.0,0.0,-0.4505,-0.901,-0.19
15m,early_hl_tight_2p5r,early-higher-low,QCOM,44.1389,2,2,1,0,50.0,0.0,0.019,0.038,-0.03
15m,early_hl_tight_2p5r,early-higher-low,ADI,3.9478,2,1,1,0,100.0,0.0,0.176,0.176,0.31
15m,early_hl_tight_2p5r,early-higher-low,MCHP,2.0699,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,MPWR,-0.7799,5,4,3,2,75.0,50.0,0.6338,2.535,0.5675
15m,early_hl_tight_2p5r,early-higher-low,LSCC,20.5738,2,2,1,1,50.0,50.0,0.079,0.158,0.035
15m,early_hl_tight_2p5r,early-higher-low,ALAB,69.4345,1,1,1,0,100.0,0.0,0.488,0.488,0.19
15m,early_hl_tight_2p5r,early-higher-low,CRDO,33.8584,2,2,1,0,50.0,0.0,-0.0565,-0.113,0.08
15m,early_hl_tight_2p5r,early-higher-low,COHR,8.9125,4,3,0,0,0.0,0.0,-0.78,-2.34,-0.7667
15m,early_hl_tight_2p5r,early-higher-low,WOLF,88.3832,1,1,0,0,0.0,0.0,-4.682,-4.682,-1.0
15m,early_hl_tight_2p5r,early-higher-low,AEHR,0.7644,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,PLTR,7.9261,2,2,1,1,50.0,50.0,0.5185,1.037,0.43
15m,early_hl_tight_2p5r,early-higher-low,APP,32.2903,1,1,0,0,0.0,0.0,-2.069,-2.069,-1.0
15m,early_hl_tight_2p5r,early-higher-low,SOUN,4.1146,3,1,0,0,0.0,0.0,-0.776,-0.776,-1.0
15m,early_hl_tight_2p5r,early-higher-low,BBAI,25.2174,3,3,1,1,33.33,33.33,-0.184,-0.552,-0.16
15m,early_hl_tight_2p5r,early-higher-low,AI,18.4268,2,2,1,0,50.0,0.0,0.084,0.168,-0.145
15m,early_hl_tight_2p5r,early-higher-low,PATH,9.2947,3,3,1,0,33.33,0.0,-0.392,-1.176,-0.2767
15m,early_hl_tight_2p5r,early-higher-low,UPST,5.296,2,2,0,0,0.0,0.0,-0.606,-1.212,-0.705
15m,early_hl_tight_2p5r,early-higher-low,AFRM,13.3846,1,1,1,0,100.0,0.0,0.089,0.089,0.05
15m,early_hl_tight_2p5r,early-higher-low,HOOD,28.4867,3,2,0,0,0.0,0.0,-0.44,-0.88,-0.33
15m,early_hl_tight_2p5r,early-higher-low,COIN,-0.8186,1,1,0,0,0.0,0.0,-1.674,-1.674,-1.0
15m,early_hl_tight_2p5r,early-higher-low,MARA,18.3313,5,5,2,1,40.0,20.0,-0.4926,-2.463,-0.132
15m,early_hl_tight_2p5r,early-higher-low,RIOT,45.0267,2,2,0,0,0.0,0.0,-0.8955,-1.791,-0.635
15m,early_hl_tight_2p5r,early-higher-low,CLSK,44.3929,4,4,2,2,50.0,50.0,-0.2547,-1.019,-0.04
15m,early_hl_tight_2p5r,early-higher-low,IREN,37.0271,2,2,1,1,50.0,50.0,-0.0185,-0.037,-0.265
15m,early_hl_tight_2p5r,early-higher-low,CORZ,31.0076,2,2,1,0,50.0,0.0,0.075,0.15,0.085
15m,early_hl_tight_2p5r,early-higher-low,CIFR,29.8737,1,1,0,0,0.0,0.0,-0.771,-0.771,-0.26
15m,early_hl_tight_2p5r,early-higher-low,WULF,16.0163,1,1,0,0,0.0,0.0,-0.739,-0.739,-0.38
15m,early_hl_tight_2p5r,early-higher-low,HIVE,84.2932,1,1,1,1,100.0,100.0,2.381,2.381,0.95
15m,early_hl_tight_2p5r,early-higher-low,BTDR,52.5764,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,HUT,62.1671,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,QBTS,50.0872,1,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,QUBT,33.2769,2,1,1,0,100.0,0.0,0.308,0.308,0.11
15m,early_hl_tight_2p5r,early-higher-low,ARQQ,15.355,3,2,2,0,100.0,0.0,0.321,0.642,0.15
15m,early_hl_tight_2p5r,early-higher-low,LAES,24.5115,3,3,2,2,66.67,66.67,0.824,2.472,0.87
15m,early_hl_tight_2p5r,early-higher-low,QS,22.777,5,5,1,1,20.0,20.0,-0.3222,-1.611,-0.4
15m,early_hl_tight_2p5r,early-higher-low,ENVX,20.6479,2,2,0,0,0.0,0.0,-1.217,-2.434,-0.575
15m,early_hl_tight_2p5r,early-higher-low,JOBY,33.2215,3,3,1,0,33.33,0.0,0.1183,0.355,-0.03
15m,early_hl_tight_2p5r,early-higher-low,ACHR,20.708,7,6,4,3,66.67,50.0,0.5042,3.025,0.4317
15m,early_hl_tight_2p5r,early-higher-low,LUNR,74.6114,1,1,1,0,100.0,0.0,0.418,0.418,0.22
15m,early_hl_tight_2p5r,early-higher-low,SPCE,158.5417,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15m,early_hl_tight_2p5r,early-higher-low,NNE,25.2059,3,2,1,1,50.0,50.0,0.629,1.258,-0.185
