entry_mode,swing_window,low_tolerance_pct,max_second_low_undercut_pct,min_rebound_pct,breakout_lookahead,breakout_buffer_pct,require_volume_confirmation,volume_multiplier,max_first_low_to_neckline_bars,max_neckline_to_second_low_bars,stop_buffer_pct,reward_risk,max_hold_bars,closed_trades,wins,hit_rate_pct,avg_return_pct,total_return_pct,avg_r_multiple
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.005,3.0,40,107,53,49.53,0.012,1.263,-0.003
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.005,2.5,40,107,53,49.53,0.009,1.008,-0.005
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.005,3.0,40,107,53,49.53,0.012,1.251,-0.007
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.005,2.5,40,107,53,49.53,0.009,0.996,-0.008
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.0025,2.0,40,97,49,50.52,-0.005,-0.497,-0.03
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.0025,2.0,40,97,48,49.48,-0.011,-1.019,-0.028
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.0025,2.5,40,95,48,50.53,0.015,1.444,-0.011
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.0025,2.5,40,95,47,49.47,0.01,0.922,-0.009
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.005,2.0,40,94,49,52.13,0.024,2.292,0.001
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.005,2.0,40,94,48,51.06,0.019,1.77,0.002
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.005,3.0,40,94,48,51.06,0.021,2.012,-0.002
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.005,2.5,40,94,48,51.06,0.019,1.757,-0.004
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.005,3.0,40,94,47,50.0,0.016,1.49,-0.002
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.005,2.5,40,94,47,50.0,0.013,1.235,-0.003
breakout,2,0.012,0.008,0.0025,12,0.0006,False,1.05,24,24,0.0025,3.0,40,94,47,50.0,0.003,0.257,-0.024
breakout,2,0.006,0.006,0.0025,12,0.0006,False,1.05,24,24,0.0025,3.0,40,94,46,48.94,-0.003,-0.265,-0.022
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,2.0,12,54,25,46.3,0.055,2.994,0.07
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,2.5,12,54,25,46.3,0.053,2.852,0.069
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,3.0,12,54,25,46.3,0.053,2.852,0.069
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,2.0,12,54,25,46.3,0.074,4.013,0.066
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,2.5,12,54,25,46.3,0.063,3.381,0.06
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,3.0,12,54,25,46.3,0.063,3.381,0.06
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,2.5,20,52,22,42.31,0.05,2.626,0.053
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,2.0,20,52,22,42.31,0.034,1.764,0.043
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,2.0,20,52,22,42.31,0.044,2.291,0.04
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,3.0,20,51,22,43.14,0.061,3.093,0.068
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,2.5,20,51,22,43.14,0.051,2.601,0.048
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,3.0,20,51,22,43.14,0.051,2.601,0.048
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,2.0,12,50,24,48.0,0.087,4.355,0.088
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,2.5,12,50,24,48.0,0.084,4.213,0.086
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,3.0,12,50,24,48.0,0.084,4.213,0.086
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,2.0,12,50,24,48.0,0.107,5.374,0.083
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,2.5,12,50,24,48.0,0.095,4.742,0.076
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,3.0,12,50,24,48.0,0.095,4.742,0.076
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,2.5,20,48,21,43.75,0.058,2.774,0.053
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,2.0,20,48,21,43.75,0.04,1.912,0.043
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,2.0,20,48,21,43.75,0.051,2.439,0.041
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,2.5,40,47,22,46.81,0.005,0.216,0.014
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,2.0,40,47,22,46.81,-0.014,-0.646,0.003
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,2.0,40,47,22,46.81,-0.031,-1.44,-0.011
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,3.0,20,47,21,44.68,0.069,3.241,0.07
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,2.5,20,47,21,44.68,0.058,2.749,0.05
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,3.0,20,47,21,44.68,0.058,2.749,0.05
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.0025,3.0,40,47,21,44.68,-0.017,-0.812,-0.006
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,3.0,40,47,21,44.68,-0.033,-1.561,-0.016
