interval,variant,entry_mode,symbol,stock_return_pct,patterns,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple
5m,early_hl_wide_3r,early-higher-low,BE,2.6877,12,10,3,1,30.0,10.0,-0.8962,-8.962,-0.474
5m,early_hl_wide_3r,early-higher-low,PLUG,28.0389,18,17,3,1,17.65,5.88,-1.4987,-25.478,-0.5212
5m,early_hl_wide_3r,early-higher-low,BLDP,85.2507,19,15,7,5,46.67,33.33,0.1689,2.533,0.0113
5m,early_hl_wide_3r,early-higher-low,LAC,-7.2695,18,14,8,5,57.14,35.71,0.7045,9.863,0.5021
5m,early_hl_wide_3r,early-higher-low,ALB,-8.7184,5,5,0,0,0.0,0.0,-0.6086,-3.043,-0.46
5m,early_hl_wide_3r,early-higher-low,RIVN,2.2223,14,13,6,2,46.15,15.38,-0.0464,-0.603,0.1415
5m,early_hl_wide_3r,early-higher-low,LCID,2.7473,19,17,5,2,29.41,11.76,-0.4046,-6.879,-0.1671
5m,early_hl_wide_3r,early-higher-low,NIO,-8.6859,8,8,4,2,50.0,25.0,0.1876,1.501,0.095
5m,early_hl_wide_3r,early-higher-low,XPEV,0.643,8,7,2,0,28.57,0.0,-0.0686,-0.48,-0.0729
5m,early_hl_wide_3r,early-higher-low,LI,-16.6667,6,4,2,0,50.0,0.0,0.1208,0.483,0.075
5m,early_hl_wide_3r,early-higher-low,CHPT,20.9857,17,16,6,2,37.5,12.5,-0.0521,-0.834,-0.0562
5m,early_hl_wide_3r,early-higher-low,BLNK,15.1742,20,17,8,5,47.06,29.41,0.3636,6.181,0.0571
5m,early_hl_wide_3r,early-higher-low,SERV,0.2674,17,13,6,3,46.15,23.08,-0.011,-0.143,0.0438
5m,early_hl_wide_3r,early-higher-low,TEM,-8.3152,13,13,9,5,69.23,38.46,0.9001,11.701,0.44
5m,early_hl_wide_3r,early-higher-low,RXRX,3.9365,17,13,9,8,69.23,61.54,0.8317,10.812,0.3338
5m,early_hl_wide_3r,early-higher-low,SDGR,22.9021,14,13,5,2,38.46,15.38,-0.138,-1.794,-0.1115
5m,early_hl_wide_3r,early-higher-low,CRSP,8.6986,12,11,6,2,54.55,18.18,-0.0303,-0.333,-0.0173
5m,early_hl_wide_3r,early-higher-low,EDIT,16.8082,13,11,7,5,63.64,45.45,0.6069,6.676,0.1782
5m,early_hl_wide_3r,early-higher-low,BEAM,8.7516,11,10,3,2,30.0,20.0,-0.2014,-2.014,-0.135
5m,early_hl_wide_3r,early-higher-low,NTLA,5.8314,15,13,8,5,61.54,38.46,0.1945,2.529,0.1369
5m,early_hl_wide_3r,early-higher-low,PACB,-6.25,17,15,8,7,53.33,46.67,0.5567,8.351,0.2007
5m,early_hl_wide_3r,early-higher-low,DNA,7.0286,15,12,6,5,50.0,41.67,-0.3532,-4.239,-0.1783
5m,early_hl_wide_3r,early-higher-low,TMDX,-33.3928,13,11,5,3,45.45,27.27,-0.1133,-1.246,-0.1455
5m,early_hl_wide_3r,early-higher-low,GH,45.9535,13,12,10,5,83.33,41.67,1.1479,13.775,0.6117
5m,early_hl_wide_3r,early-higher-low,CELH,-1.6403,10,8,3,1,37.5,12.5,-0.1407,-1.126,-0.1575
5m,early_hl_wide_3r,early-higher-low,ELF,-10.6011,11,11,3,3,27.27,27.27,-0.1683,-1.851,-0.1845
5m,early_hl_wide_3r,early-higher-low,CAVA,-17.376,7,6,4,1,66.67,16.67,0.3867,2.32,0.14
5m,early_hl_wide_3r,early-higher-low,HIMS,-3.7163,19,16,6,3,37.5,18.75,0.3551,5.682,0.155
5m,early_hl_wide_3r,early-higher-low,DDOG,76.6512,12,12,6,3,50.0,25.0,0.1071,1.285,0.1208
5m,early_hl_wide_3r,early-higher-low,NET,13.3938,18,16,12,4,75.0,25.0,0.5298,8.476,0.2569
5m,early_hl_wide_3r,early-higher-low,CRWD,61.124,13,12,6,3,50.0,25.0,0.1813,2.175,0.0583
5m,early_hl_wide_3r,early-higher-low,SNOW,78.4556,11,9,7,2,77.78,22.22,0.9722,8.75,0.4
5m,early_hl_wide_3r,early-higher-low,MDB,25.186,11,11,4,1,36.36,9.09,-0.4844,-5.328,-0.2573
5m,early_hl_wide_3r,early-higher-low,SHOP,-5.7442,8,8,6,3,75.0,37.5,0.5611,4.489,0.2812
5m,early_hl_wide_3r,early-higher-low,SE,4.9426,7,7,4,3,57.14,42.86,0.228,1.596,0.1971
5m,early_hl_wide_3r,early-higher-low,MELI,-7.2066,11,9,5,2,55.56,22.22,0.0524,0.472,0.0333
5m,early_hl_wide_3r,early-higher-low,NU,-9.7905,10,8,1,1,12.5,12.5,-0.2112,-1.69,-0.1562
5m,early_hl_wide_3r,early-higher-low,TOST,-10.6879,12,12,2,0,16.67,0.0,-0.6737,-8.084,-0.3925
5m,early_hl_wide_3r,early-higher-low,RBLX,8.5445,16,15,3,2,20.0,13.33,-0.3221,-4.832,-0.1167
5m,early_hl_wide_3r,early-higher-low,U,11.1071,12,11,5,1,45.45,9.09,-0.274,-3.014,-0.2736
5m,early_hl_wide_3r,early-higher-low,DKNG,4.2493,10,9,4,1,44.44,11.11,-0.2513,-2.262,-0.2378
5m,early_hl_wide_3r,early-higher-low,RDDT,9.6384,14,14,6,1,42.86,7.14,-0.2089,-2.924,-0.1257
5m,early_hl_wide_3r,early-higher-low,CART,-7.6513,7,7,1,0,14.29,0.0,-0.5451,-3.816,-0.3743
5m,early_hl_wide_3r,early-higher-low,SOFI,12.8054,16,12,6,3,50.0,25.0,0.1096,1.315,0.0217
5m,early_hl_wide_3r,early-higher-low,UWM,8.5444,9,9,5,0,55.56,0.0,0.1191,1.072,0.0778
5m,early_hl_wide_3r,early-higher-low,OPEN,-8.4545,17,12,7,7,58.33,58.33,0.9962,11.954,0.3675
5m,early_hl_wide_3r,early-higher-low,CVNA,-6.3325,9,8,2,1,25.0,12.5,-0.8446,-6.757,-0.3788
5m,early_hl_wide_3r,early-higher-low,W,13.2513,10,10,5,1,50.0,10.0,-0.1238,-1.238,0.104
5m,early_hl_wide_3r,early-higher-low,ETSY,5.3032,10,10,4,2,40.0,20.0,-0.1418,-1.418,-0.06
5m,early_hl_wide_3r,early-higher-low,FUBO,-21.4403,13,10,3,3,30.0,30.0,-0.2978,-2.978,-0.195
5m,early_hl_wide_3r,early-higher-low,ROKU,8.037,11,10,5,0,50.0,0.0,0.1057,1.057,0.031
5m,early_hl_wide_3r,early-higher-low,TTD,-11.2893,13,11,7,5,63.64,45.45,0.3046,3.351,0.2491
5m,early_hl_wide_3r,early-higher-low,BILL,-6.7632,9,7,3,2,42.86,28.57,-0.4094,-2.866,0.0057
5m,early_hl_wide_3r,early-higher-low,TWLO,8.743,12,10,6,2,60.0,20.0,0.1741,1.741,0.076
5m,early_hl_wide_3r,early-higher-low,DOCN,50.9748,16,13,8,3,61.54,23.08,0.1088,1.415,-0.0292
5m,early_hl_wide_3r,early-higher-low,FROG,62.2245,19,15,10,4,66.67,26.67,0.2649,3.974,0.1827
5m,early_hl_wide_3r,early-higher-low,ESTC,30.2081,10,9,3,1,33.33,11.11,0.0199,0.179,-0.1078
5m,early_hl_wide_3r,early-higher-low,GTLB,31.8896,17,14,9,7,64.29,50.0,0.5407,7.57,0.1786
